;Zone;Piece;Categorie;Keys;Value;description;ACTION
;Chauffage Zone Nuit;NULL;Chauffage;350;1;Automatique (planning);NULL
;Chauffage Zone Nuit;NULL;Chauffage;350;32;Anticipé;NULL
;Chauffage Zone Nuit;NULL;Chauffage;350;17;Forçage confort;NULL
;Chauffage Zone Nuit;NULL;Chauffage;350;18;Forçage éco;NULL
;Chauffage Zone Nuit;NULL;Chauffage;350;19;Forçage éco+;NULL
;Chauffage Zone Nuit;NULL;Chauffage;350;20;Forçage éco++;NULL
;Chauffage Zone Nuit;NULL;Chauffage;350;21;Forçage hors gel;NULL
;Chauffage Zone Nuit;NULL;Chauffage;350;16;OFF;NULL
;Chauffage Salle de bain 1;NULL;Chauffage;351;1;Automatique (planning);NULL
;Chauffage Salle de bain 1;NULL;Chauffage;351;32;Anticipé;NULL
;Chauffage Salle de bain 1;NULL;Chauffage;351;17;Forçage confort;NULL
;Chauffage Salle de bain 1;NULL;Chauffage;351;18;Forçage éco;NULL
;Chauffage Salle de bain 1;NULL;Chauffage;351;19;Forçage éco+;NULL
;Chauffage Salle de bain 1;NULL;Chauffage;351;20;Forçage éco++;NULL
;Chauffage Salle de bain 1;NULL;Chauffage;351;21;Forçage hors gel;NULL
;Chauffage Salle de bain 1;NULL;Chauffage;351;16;OFF;NULL
;Chauffage Salle de bain 2;NULL;Chauffage;352;1;Automatique (planning);NULL
;Chauffage Salle de bain 2;NULL;Chauffage;352;32;Anticipé;NULL
;Chauffage Salle de bain 2;NULL;Chauffage;352;17;Forçage confort;NULL
;Chauffage Salle de bain 2;NULL;Chauffage;352;18;Forçage éco;NULL
;Chauffage Salle de bain 2;NULL;Chauffage;352;19;Forçage éco+;NULL
;Chauffage Salle de bain 2;NULL;Chauffage;352;20;Forçage éco++;NULL
;Chauffage Salle de bain 2;NULL;Chauffage;352;21;Forçage hors gel;NULL
;Chauffage Salle de bain 2;NULL;Chauffage;352;16;OFF;NULL
;Cumulus;NULL;Chauffage;353;0;Automatique (ON) ;NULL
;Cumulus;NULL;Chauffage;353;1;Suivi HP/HC;NULL
;Cumulus;NULL;Chauffage;353;2;OFF;NULL
;Arrosage;NULL;ARROSAGE;363;255;Automatique (planning);NULL
;Arrosage;NULL;ARROSAGE;363;15;Forçage arrosage 15 minutes;NULL
;Arrosage;NULL;ARROSAGE;363;30;Forçage arrosage 30 minutes;NULL
;Arrosage;NULL;ARROSAGE;363;60;Forçage arrosage 1 heure;NULL
;Arrosage;NULL;ARROSAGE;363;0;OFF;NULL
;Prises de sécurité;NULL;SECURITE;440;0;securiteprise On;Allumé
;Prises de sécurité;NULL;SECURITE;440;1;securiteprise Off;Eteindre
;Volet 1;Salon;Volets roulants et store;617;1;volet1salon Open;Ouvrir
